1250	s	100
127	s	25
255	s	200
2117	s	57
315	s	20
821	d	35
712	s	60
1100	s	80
693	d	80
110	s	200
915	s	75
455	s	50
222	s	30
483	s	10
161	d	20
422	d	50
180	s	70
350	s	30
1250	s	200
127	s	45
255	s	65
2117	s	35
315	s	80
821	s	90
712	d	15
1250	s	250
127	s	10
255	s	25
2117	s	70
315	d	100
821	s	200
712	s	90
1100	s	60
693	s	10
110	s	25
915	d	35
455	s	30
222	s	40
483	s	50
161	s	10
422	s	35
180	s	300
350	s	150
1100	s	50
693	d	30
110	s	50
915	d	60
455	s	90
222	d	80
483	s	70
161	s	50
422	s	10
180	s	20
350	s	100
1100	d	50
693	d	30
110	s	10
915	s	20
455	d	80
222	s	50
